,2017,2018,2019
ENGENHARIA QUÍMICA,0,0,0
CIÊNCIAS ODONTOLÓGICAS,1,1,1
GEOGRAFIA,0,0,0
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,0,0,0
ECOLOGIA,0,0,0
LETRAS,0,0,0
ADMINISTRAÇÃO,5,5,5
FISIOTERAPIA,0,0,0
DIREITO,4,4,4
SISTEMAS DE INFORMAÇÃO,3,4,4
NUTRIÇÃO,0,0,0
ENGENHARIA DE SOFTWARE,1,1,1
ENGENHARIA AMBIENTAL,0,0,0
ARQUITETURA E URBANISMO,5,5,5
CIÊNCIA DA COMPUTAÇÃO,4,4,4
BIBLIOTECONOMIA,4,4,4
TURISMO,0,0,0
FILOSOFIA,5,5,5
COMUNICAÇÃO SOCIAL,4,4,4
ARTES CÊNICAS,1,1,1
HISTÓRIA,0,0,0
ENGENHARIA DA COMPUTAÇÃO,0,0,0
AGRONOMIA,4,4,4
"CIÊNCIA, TECNOLOGIA E INOVAÇÃO",1,1,1
GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO,1,1,1
MATEMÁTICA,4,4,4
BIOQUÍMICA,1,1,1
BIOINFORMÁTICA,1,1,1
DESIGN,1,1,1
MÚSICA,0,0,0
CIÊNCIA E ENGENHARIA DE MATERIAIS,1,1,1
CIÊNCIAS BIOLÓGICAS,4,4,3
DANÇA,4,4,4
ENGENHARIA CIVIL,5,5,5
CIÊNCIAS DA SAÚDE,1,1,1
CIÊNCIAS SOCIAIS,3,4,4
ENGENHARIA DE PETRÓLEO,4,4,4
PEDAGOGIA,4,4,4
CIÊNCIAS E TECNOLOGIA,4,4,4
CIÊNCIAS ATUARIAIS,4,4,4
ENFERMAGEM,4,4,4
EDUCAÇÃO FÍSICA,4,4,4
BIOMEDICINA,4,4,3
ENGENHARIA FLORESTAL,4,4,4
